acronym,definition
SSDT,BSA Safe Swim Defense Training 
SAT,BSA Safety Afloat Training 
SSALBT,Sea Scout Adult Leader Basic Training
AS,Auxiliary AUXSCOUT Officer
AUXSCOUT,Auxiliary SEA SCOUT YOUTH DEVELOPMENT Program
CAC,U.S. Coast Guard Common Access Card
A/C,Aircraft
AAC,Auxiliary Aviation Coordinator
AAM,Auxiliary Achievement Medal
AAPP,Academy Admissions Partner Program
ABC,America’s Boating Course
ABYC,American Boat and Yacht Council
AC&I,"Acquisition, Construction, and Improvement"
ACFT,Aircraft
ACLOC,Auxiliary Commandant Letter of Commendation
ACS,Auxiliary Chaplain Support Program
ACM,Auxiliary Commendation Medal
ACN,Auxiliary Advanced Coastal Navigation Course
ACN,ALCOAST Commandant Notice
ALCOAST,ALCOAST COMDT Notice
ACO,Authorized Certifying Officer
ACOE,Army Corps of Engineers
ACP,Area Contingency Plan
ADA,Americans with Disabilities Act
ADCON,Administrative Control
ADFSO,Assistant District Flight Safety Officer
ADM,"Coast Guard Admiral (4-star, USCG / USN / USPHS)"
ADR,Alternative Dispute Resolution
ADSM,Auxiliary Distinguished Service Medal
ADSO,Assistant District Staff Officer
ADSW-AC,Active Duty Special Work in Support of Active Component
AFC-01,Allotment Fund Control Code for Military Personnel Pay
AFC-08,Allotment Fund Control Code for Civilian Personnel Pay
AFC-20,Allotment Fund Control Code for Permanent Change of Station Travel
AFC-30,Allotment Fund Control Code for Operating and Maintenance
AFC-30E,Allotment Fund Control Code for Energy
AFC-56,Allotment Fund Control Code for Training
AFRAS,Association for Rescue at Sea
AIM,Academy Introduction Mission or Administrative Investigations Manual
AIRS,Auxiliary Internet Resources Site
AIS,Automated Information System; Automatic Identification System
ALAC,Auxiliary Logical Access Credential
ALAUX,Chief Director’s All Auxiliary Message
ALCOAST,Coast Guard general message
ALOM,Auxiliary Legion of Merit
AMLOC,Auxiliary Mid-Level Officer Course
AMOS,Auxiliary Mission Objectives System
AMS,Area Maritime Security
ANACO,Assistant National Commodore
ANACO-CC,Assistant National Commodore Chief Counsel
ANSC,Auxiliary National Supply Center
ANT,Aids to Navigation Team
AO,Area of Operations
AOPS,Abstract of Operations or Assistant Operations Officer
AOR,Area of Responsibility
AP,Approval Pending Member Status
APC,Administrative Procedures Course
ASC,Auxiliary Sector Coordinator
ASOC,Auxiliary Senior Officer Course
AT/FP,Anti-Terrorism and Force Protection
AtoN,Aids to Navigation
AtoNIS,Aids to Navigation Information System
AUC,Auxiliary Unit Coordinator
AUX-02,Auxiliary Leadership & Management School (AUXLAMS)-Resident Course
AUX-02A,Auxiliary Leadership & Management School (AUXLAMS) – Part A
AUX-02B,Auxiliary Leadership & Management School (AUXLAMS) – Part B
AUX-10,Auxiliry Information Services Officer Training Course
AUX-17,Auxiliary Crew Resource Mgmt/Operational Risk Management (ORM) training
AUX-18,Spatial Disorientation/Crew Resource Management (CRM) training
AUXACN,Auxiliary Advanced Coastal Navigation Course
AUXCA,Auxiliary Culinary Assistance Program
AUXCT,Auxiliary Core Training
AUXCEN,Auxiliary Center
AUXCOM,Auxiliary Boat Commander or Auxiliary Communication Specialty Course
AUXDATA,AUXDATA
ADII,AUXDATA II
AUXFAC,Auxiliary Facility
AUXFS,Auxiliary Food Service
AUXLAM,Auxiliary Leadership and Management Course
AUXLAMS,Auxiliary Leadership and Management Course
AUXLEA,Auxiliary Leadership Course
AUXLO,Auxiliary Liaison Officer (active duty unit liaison to local Auxiliary)
AUXMAN,Auxiliary Manual COMDTINST
AUXMIN,Auxiliary Administration Specialty Course
AUXMIS,Auxiliary Management Information System (see AUXDATA)
AUXNAV,Auxiliary Navigation Specialty Course
AUXOP,Operational Member Status
AUXOY,Auxiliarist of the Year
AUXPAL,Auxiliary Personnel Allowance List
AUXPAT,Auxiliary Patrols Specialty Course
AUXPATCOM,Auxiliary Patrol Commander
AUXSAR,Auxiliary Search and Rescue Specialty Course
AUXSEA,Auxiliary Seamanship Specialty Course
AUXWEA,Auxiliary Weather Specialty Course
AV,Aids Verifier competency
AVM,Aviation Management
AVT,Aviation Training
AX,Operational Auxiliarist (someone who has achieved AUXOP Member Status)
AWU,Auxiliary Alternate Work Uniform
AWW,America’s Waterway Watch Program
BC,"Branch Chief, National Staff"
BCM,Boat Crewmember
BCCREW,Boat Crew Crewmember competency
BCCOX,Boat Crew Coxswain competency
BCN,Basic Coastal Navigation Course
BCQ II,Basic Qualification Course
BCQP,Boat Crew Qualification Program
BED,Base Enrollment Date
BG,Brigadier General (1-star)
"BGEN, BG",Brigadier General
BLA,Boating Law Administrator
BM,Coast Guard Boatswain’s Mate
BNM,Broadcast Notice to Mariners
BO PQS,Boarding Officer Personnel Qualification Standard
BTM PQS,Boarding Team Member Personnel Qualification Standard
BOAT  ,U.S. Coast Guard Boat Operations and Training Program
BOAT US,Boat Owners Association of the U.S.
BOCA,Boat Owners Council of America
BOSAF,Boating Safety Correspondence Course
BQ,Basically Qualified Member Status
BS&S,Boating Skills and Seamanship Course
BSAC,Boating Safety Advisory Council (NBSAC)
BSC,Boating Safety Circular
BSX,Coast Guard Office of Auxiliary and Boating Safety
BUI,Boating Under the Influence
BWI,Boating While Intoxicated
BZ,BRAVO ZULU- a job well done
C2,Command and Control
C4I,"Command, Control, Communications, Computers, and Intelligence"
C4ISR,"Command, Control, Communications, Computers, Intelligence, Surveillance, and Reconnaissance"
CAC,Common Access Card or Crisis Action Center
CAN,Citzen’s Action Network
CAP,Civil Air Patrol
CAPT,Coast Guard Captain
CASCOR,Casualty Correct
CASREP,Casualty Report
CBA,Central Billing Account
CBN,"Chemical, Biological, and Nuclear"
CBP,U.S. Customs and Border Protection Agency
CBRN,"Chemical, Biological, Radiological, or Nuclear"
CCB,Configuration Control Board
CCMD,Combatant Command
CCN,Commandant Change Notice
CD,Counterdrug Operations
CDAR,Collateral Duty Addictions Representative
CDO,Coast Guard Command Duty Officer
CDR,Coast Guard Commander
CE,USCG Categorical Exclusion
CEU,Civil Engineering Unit or Continuing Education Unit
CFC,Combined Federal Campaign
CFO,Chief Financial Officer
CFR,U.S. Code of Federal Regulation
CFVE,Commercial Fishing Vessel Examination
CFVS,Commercial Fishing Vessel Safety
CG-00,"Commandant, U.S. Coast Guard"
CG-09,"Vice Commandant, U.S. Coast Guard"
CG-1,Coast Guard Assistant Commandant for Human Resources
CG-2,Coast Guard Assistant Commandant for Intelligence and Criminal Investigations
CG-4,Coast Guard Assistant Commandant for Engineering and Logistics
CG-5,"Coast Guard Assistant Commandant for Marine Safety, Security, and Stewardship"
CG-5P,Coast Guard Commandant for Prevention Policy
CG-5PC,Coast Guard Director of Inspections and Compliance
CG-6,"Coast Guard Assistant Commandant for Command, Control, Communications, Computers, and Information Technology"
CG-7,Coast Guard Assistant Commandant for Capability
CG-8,Coast Guard Assistant Commandant for Resources
CGAP,Coast Guard Acquisition Procedures
CGAR,Coast Guard Acquisition Regulation
CGAUX,Coast Guard Auxiliary
CRC,Auxiliary Civil Rights Coordinator
"CGAuxA, Inc.","Coast Guard Auxiliary Association, Incorporated"
CG-DCMS,Coast Guard Deputy Commandant for Mission Support
CG-DCO,Coast Guard Deputy Commandant for Operations
CGDF,Coast Guard Dining Facility
CGDN+,Coast Guard Data Network Plus
